Disease,ICD11_Biomed_codes,ICD_TM2_codes,Name English,Short_definition
Tuberculosis,1B10,TM2-001,Depletion of vata pattern ,"A chronic infectious disease primarily affecting the lungs, caused by Mycobacterium tuberculosis."
Tuberculosis,1B10,TM2-010,Xerostomia disorder ,"An infectious disease caused by Mycobacterium tuberculosis, often presenting with pulmonary involvement and systemic weakness."
Tuberculosis,1B10,TM2-020,Oligospermia disorder ,A chronic infection by Mycobacterium tuberculosis that primarily affects the lungs but can also impact other organs and systems.
Diabetes Mellitus,5A11,TM2-030,Diabetes mellitus disorder ,A metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion or action.
Diabetes Mellitus,5A11,TM2-040,Carbuncles disorder due to diabetes ,A complication of diabetes characterized by carbuncles or skin boils arising from chronic hyperglycemia and impaired immunity.
Diabetes Mellitus,5A11,TM2-050,nirūhavyāpad in diabetes and integumentary disorder,"A manifestation of diabetes involving skin and integumentary complications such as chronic ulcers, lesions, or infections due to persistent hyperglycemia."
Malaria,1F40,TM2-060,Malaria,"A condition in which the size of liver increases without inflammation. It does not affect the functions of the liver. This condition usually occurs in tropical countries where there is an increased incidence of malaria. It is sometimes associated with phthisis, tuberculosis and diabetes."
Asthma,CA23,TM2-070,Dyspnoea disorder ,"A chronic respiratory disorder characterized by episodic breathlessness, wheezing, and airway inflammation."
Asthma,CA23,TM2-080,mild breathlessness,"The prodromal stage of asthma, presenting with early signs such as mild wheezing, occasional breathlessness, and chest tightness before full-blown attacks."
Asthma,CA23,TM2-090,Acute bronchial obstruction,"A severe form of asthma characterized by intense breathlessness, wheezing, and difficulty in breathing."
Jaundice,MD90.0,TM2-100,Jaundice (Pittaja type),"A liver disorder characterized by yellowing of the skin and eyes, dark urine, and digestive disturbances, caused exclusively by pitta imbalance."
Jaundice,MD90.0,TM2-110,Morbid increase of blood pattern ,"A condition associated with excessive blood accumulation or vitiation, potentially contributing to jaundice symptoms like yellowing of the skin and eyes."
Jaundice,MD90.0,TM2-120,foul smell of breast milk,"A condition characterized by foul-smelling breast milk, often resulting from metabolic and digestive disturbances associated with jaundice."
Influenza,1E32,TM2-130,Depletion of primary circulating nutrient fluid pattern ,"An acute viral respiratory infection characterized by fever, cough, sore throat, body aches, and fatigue."
Influenza,1E32,TM2-140,Aggravation of primary circulating nutrient fluid pattern ,"An acute viral infection of the respiratory tract characterized by fever, congestion, cough, and malaise."
Influenza,1E32,TM2-150,Diminution of menstrual flow pattern ,A systemic viral infection that can cause reduced menstrual flow as a secondary effect due to overall vata-pitta imbalance and depletion of bodily nutrients.
Tetanus,1C13,TM2-160,Opisthotonos disorder ,"A serious bacterial infection caused by Clostridium tetani, leading to muscle rigidity, spasms, and opisthotonos (arching of the back)."
Tetanus,1C13,TM2-170,Irremediable opisthotonos disorder ,"A severe manifestation of tetanus characterized by irreversible opisthotonos and persistent muscle rigidity, often resistant to standard treatment."
Tetanus,1C13,TM2-180,Tetanus,"A type of tension occurring in the muscles of cervical and thoracic vertebrae, making them elongated."
Migraine,8A80,TM2-190,Other specified headache disorders ,"A neurological disorder characterized by recurrent, pulsating headache usually on one side of the forehead, often accompanied by nausea, sensitivity to light, and aura."
Migraine,8A80,TM2-200,headache/cephalgia/cephalalgia (due only to vātadōṣa),"A headache disorder characterized by intense, often unilateral head pain, sometimes accompanied by nausea and light sensitivity, caused exclusively by vata imbalance."
Migraine,8A80,TM2-210,rājayakṣma due to withholding natural urges,"A headache or migraine-like disorder arising due to withholding natural urges, leading to vata-pitta imbalance."
Amnesia,MB21,TM2-220,Amnesia,A state of forgetfulness.
Amnesia,MB21,TM2-230,Simple or compound Amnesia,"A state of forgetfulness caused by the predominance of Burūdat (coldness) or Rutūbat (moistness), which is either simple or compound."
Amnesia,MB21,TM2-240,Amnesia (cold‑dry type),A state of forgetfulness caused by the predominance of Burūdat (coldness) or Yubūsat (dryness).
Pneumonia,CA40,TM2-250,Dyspnoea disorder (TM2),"An acute respiratory infection characterized by inflammation of the lungs, cough, fever, chest pain, and difficulty breathing."
Pneumonia,CA40,TM2-260,prodromes of śvāsa,"The early or prodromal stage of pneumonia, presenting with mild cough, slight breathlessness, and fatigue before full-blown infection."
Pneumonia,CA40,TM2-270,mahāśvāsa,"A severe form of pneumonia characterized by intense breathlessness, wheezing, and difficulty in breathing due to extensive lung involvement. In the TM2 (Namaste) framework, it is classified as mahāśvāsa, reflecting pronounced vata-pitta imbalance leading to critical respiratory obstruction."
Hypertension,BA00,TM2-280,Hypertension,Condition in which there is persistent high arterial blood pressure.
Hypertension,BA00,TM2-290,Primary (Essential) Hypertension,Hypertension occurring without discernible organic cause.
