Disease,NAMC_CODE,NAMC_term,NAMC_term_DEVANAGARI,Name English,Short_definition
Tuberculosis,SR14 (AAA-4),vAtakShayaH,वातक्षयः,Depletion of vata pattern (TM2),"A chronic infectious disease primarily affecting the lungs, caused by Mycobacterium tuberculosis."
Tuberculosis,SM1N(AAB-74),mukhaSoShaH (kEvalavAta),मुखशोषः (केवलवात),Xerostomia disorder (TM2),"An infectious disease caused by Mycobacterium tuberculosis, often presenting with pulmonary involvement and systemic weakness."
Tuberculosis,SN03(AAB-97),SukrakShayaH (kEvalavAta),शुक्रक्षयः (केवलवात),Oligospermia disorder (TM2),A chronic infection by Mycobacterium tuberculosis that primarily affects the lungs but can also impact other organs and systems.
Diabetes Mellitus,SP60 (EF-2.4.4),madhumehaH/kShaudramehaH,मधुमेहः/क्षौद्रमेहः,Diabetes mellitus disorder (TM2),A metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion or action.
Diabetes Mellitus,EF-2.5 (SN92),prameha-piDakA,प्रमेह-पिडका,Carbuncles disorder due to diabetes (TM2) ⇒,A complication of diabetes characterized by carbuncles or skin boils arising from chronic hyperglycemia and impaired immunity.
Diabetes Mellitus,SI-2.3.14,madhumehakuShThino AsthApanavyApadaH,मधुमेहकुष्ठिनो आस्थापनव्यापदः,nirūhavyāpad in diabetes and integumentary disorder,"A manifestation of diabetes involving skin and integumentary complications such as chronic ulcers, lesions, or infections due to persistent hyperglycemia."
Malaria,F-60,عظم الكبد,Hepatomegaly,,"A condition in which the size of liver increases without inflammation. It does not affect the functions of the liver. This condition usually occurs in tropical countries where there is an increased incidence of malaria. It is sometimes associated with phthisis, tuberculosis and diabetes."
Asthma,SL42(EA-4),SvAsaH,श्वासः,Dyspnoea disorder (TM2),"A chronic respiratory disorder characterized by episodic breathlessness, wheezing, and airway inflammation."
Asthma,EA-4.1,SvAsa-pUrvarUpam,श्वास-पूर्वरूपम्,prodromes of śvāsa,"The prodromal stage of asthma, presenting with early signs such as mild wheezing, occasional breathlessness, and chest tightness before full-blown attacks."
Asthma,EA-4.2,mahASvAsaH,महाश्वासः,mahāśvāsa,"A severe form of asthma characterized by intense breathlessness, wheezing, and difficulty in breathing."
Jaundice,ABB-13,kAmalA (kEvalapitta),कामला (केवलपित्त),jaundice (due only to pittadōṣa),"A liver disorder characterized by yellowing of the skin and eyes, dark urine, and digestive disturbances, caused exclusively by pitta imbalance."
Jaundice,SR43(BB-2),raktavRuddhiH,रक्तवृद्धिः,Morbid increase of blood pattern (TM2),"A condition associated with excessive blood accumulation or vitiation, potentially contributing to jaundice symptoms like yellowing of the skin and eyes."
Jaundice,EC-4.2.2,daurgandhya-kShIradoShaH,दौर्गन्ध्य-क्षीरदोषः,foul smell of breast milk,"A condition characterized by foul-smelling breast milk, often resulting from metabolic and digestive disturbances associated with jaundice."
Influenza,SR42(BA-1),rasakShayaH,रसक्षयः,Depletion of primary circulating nutrient fluid pattern (TM2),"An acute viral respiratory infection characterized by fever, cough, sore throat, body aches, and fatigue."
Influenza,SR41(BA-2),rasavRuddhiH,रसवृद्धिः,Aggravation of primary circulating nutrient fluid pattern (TM2),"An acute viral infection of the respiratory tract characterized by fever, congestion, cough, and malaise."
Influenza,SR4K(BA-3.1),ArtavakShayaH,आर्तवक्षयः,Diminution of menstrual flow pattern (TM2),A systemic viral infection that can cause reduced menstrual flow as a secondary effect due to overall vata-pitta imbalance and depletion of bodily nutrients.
Tetanus,AAC-13(SK30),bahirAyAmaH/bAhyAyAmaH/dhanuHstamBaH,बहिरायामः/बाह्यायामः/धनुःस्तम्भः,Opisthotonos disorder (TM2) ⇒,"A serious bacterial infection caused by Clostridium tetani, leading to muscle rigidity, spasms, and opisthotonos (arching of the back)."
Tetanus,AAC-13.1(SK30),asAdhyadhanuShkaMpa,असाध्यधनुष्कंप,Irremediable opisthotonos disorder (TM2) ⇒,"A severe manifestation of tetanus characterized by irreversible opisthotonos and persistent muscle rigidity, often resistant to standard treatment."
Tetanus,A-38,كزاز,Tetanus,,"A type of tension occurring in the muscles of cervical and thoracic vertebrae, making them elongated."
